year,country,sector,M,D,OUT,Mw,Dw,TLS
1995,CMR,B06,218.656000,157.136500,661.617800,1.870200,1.431500,6.529000
1995,CMR,B0609,247.731200,178.355600,736.351500,2.060700,1.583400,7.637200
1995,CMR,F,6143.672200,5386.471000,16152.982600,85.513300,63.573300,238.742500
1995,CMR,F09,6114.597000,5365.251900,16078.248900,85.322800,63.421400,237.634300
1995,COD,B06,57.238600,47.489900,283.602800,3.592900,0.297300,0.143800
1995,COD,B0609,77.267600,64.675400,342.841500,4.221300,0.419700,0.208900
1995,COD,F,4868.154000,4055.045200,13668.366600,110.733700,29.370900,25.327000
1995,COD,F09,4848.125000,4037.859700,13609.127900,110.105300,29.248500,25.261900
1995,COL,B06,1659.955200,1269.149900,5200.056900,247.506600,0.081400,17.051400
1995,COL,B0609,1688.284200,1296.140000,5257.007700,247.687800,0.086200,18.056600
1995,COL,F,76544.415800,66930.795000,162380.755900,445.260900,45.541700,2215.256300
1995,COL,F09,76516.086800,66903.804900,162323.805100,445.079700,45.536900,2214.251100
1995,CRI,B06,0.071200,0.045400,0.251400,0.014700,0.005800,0.004500
1995,CRI,B0609,0.102100,0.067800,0.332200,0.017200,0.006900,0.006900
1995,CRI,F,9103.762400,6660.343500,20071.362000,374.528000,169.118400,369.054200
1995,CRI,F09,9103.731500,6660.321100,20071.281200,374.525500,169.117300,369.051800
1995,CYP,B06,6.040600,5.421000,13.104300,4.109100,4.104500,0.069000
1995,CYP,B0609,6.176800,5.527800,13.324000,4.172400,4.167800,0.071700
1995,CYP,F,9338.605500,6730.427000,18541.275000,1467.603600,1459.885000,143.818200
1995,CYP,F09,9338.469300,6730.320200,18541.055300,1467.540300,1459.821700,143.815500
1995,CZE,B06,25.391200,20.619000,34.522500,0.051200,0.017500,0.762900
1995,CZE,B0609,67.060300,51.180700,102.834600,0.076200,0.034700,3.930400
1995,CZE,F,73962.725000,59060.952700,130803.587900,148.132600,57.803400,2177.587000
1995,CZE,F09,73921.055900,59030.391000,130735.275800,148.107600,57.786200,2174.419500
1995,DEU,B06,4587.723500,4041.103100,5885.275900,18.284800,12.295900,140.733000
1995,DEU,B0609,5412.981000,4750.760400,7397.094000,24.945000,16.900500,176.912100
1995,DEU,F,1971950.992400,1713127.684400,4358594.239000,5575.195100,3955.728400,45222.717800
1995,DEU,F09,1971125.734900,1712418.027100,4357082.420900,5568.534900,3951.123800,45186.538700
1995,DNK,B06,298.777600,241.123900,1545.686100,0.838100,0.707000,11.338100
1995,DNK,B0609,333.152600,268.399600,1609.776700,0.900500,0.757100,14.766700
1995,DNK,F,135232.217000,105916.887900,299275.913100,425.829400,352.443400,5101.907800
1995,DNK,F09,135197.842000,105889.612200,299211.822500,425.767000,352.393300,5098.479200
1995,EGY,B06,629.264900,492.382400,8330.253700,15.101100,3.935800,19.341500
1995,EGY,B0609,691.139300,537.753300,8547.781000,15.810300,4.196300,21.859600
1995,EGY,F,37219.359500,30081.480500,90036.186500,344.367900,197.091300,772.873100
1995,EGY,F09,37157.485100,30036.109600,89818.659200,343.658700,196.830800,770.355000
1995,ESP,B06,6.696700,5.115100,70.010300,0.605400,0.173500,0.293900
1995,ESP,B0609,50.137500,41.241800,183.809400,1.936200,0.559000,2.595100
1995,ESP,F,509540.470500,430551.743600,1087900.835600,4133.953100,1309.386300,9380.693000
1995,ESP,F09,509497.029700,430515.616900,1087787.036500,4132.622300,1309.000800,9378.391800
1995,EST,B06,26.080700,21.471800,58.171100,0.282400,0.164200,0.630900
1995,EST,B0609,54.045000,41.742200,117.602100,0.540100,0.332200,1.767200
1995,EST,F,4446.063000,2947.408900,8033.708500,87.472600,58.469600,151.638300
1995,EST,F09,4418.098700,2927.138500,7974.277500,87.214900,58.301600,150.502000
1995,FIN,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,FIN,B0609,2.522400,2.033500,4.171000,0.021100,0.007800,0.243000
1995,FIN,F,119275.317800,96688.593900,240849.594100,822.633700,381.738600,4005.034500
1995,FIN,F09,119272.795400,96686.560400,240845.423100,822.612600,381.730800,4004.791500
1995,FRA,B06,52.884500,49.030700,266.494200,0.514300,0.000000,2.905300
1995,FRA,B0609,217.197300,192.958400,443.893200,1.387600,0.000000,13.613100
1995,FRA,F,1231881.842800,1064222.992200,2711716.510700,2403.559100,819.346000,46699.477300
1995,FRA,F09,1231717.530000,1064079.064500,2711539.111700,2402.685800,819.346000,46688.769500
1995,GBR,B06,7369.074000,6466.284700,23346.893400,112.425600,37.444200,246.438000
1995,GBR,B0609,9950.496600,8751.709900,28833.499400,128.781400,43.233800,362.398200
1995,GBR,F,1026966.376000,882709.509800,2262240.068400,3573.558000,1606.429900,31890.057300
1995,GBR,F09,1024384.953400,880424.084600,2256753.462400,3557.202200,1600.640300,31774.097100
1995,GRC,B06,13.460200,10.797300,17.458600,0.649800,0.471900,0.625700
1995,GRC,B0609,23.337400,19.275100,39.537600,0.809000,0.588900,1.252400
1995,GRC,F,103714.320800,90073.766700,230268.407300,876.805100,665.470300,2003.239600
1995,GRC,F09,103704.443600,90065.288900,230246.328300,876.645900,665.353300,2002.612900
1995,HKG,B06,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1995,HKG,B0609,85.848200,63.424400,108.328200,6.080500,2.497500,0.774200
1995,HKG,F,152234.083400,126714.679600,294843.062700,7145.912300,3354.311800,1528.053600
1995,HKG,F09,152148.235200,126651.255200,294734.734500,7139.831800,3351.814300,1527.279400
1995,HRV,B06,7.826000,5.537400,91.153700,0.599600,0.527100,1.278000
1995,HRV,B0609,46.443400,34.875200,155.390800,1.934700,1.703000,4.173900
1995,HRV,F,21023.330600,16984.715000,39597.349800,551.079900,488.535400,924.401000
1995,HRV,F09,20984.713200,16955.377200,39533.112700,549.744800,487.359500,921.505100
1995,HUN,B06,39.803600,29.977400,70.340800,0.471100,0.301400,2.481300
1995,HUN,B0609,53.017100,40.202800,108.764800,0.525300,0.335900,3.379500
1995,HUN,F,47994.761300,38781.081500,89077.317200,73.749200,46.109500,1731.580700
1995,HUN,F09,47981.547800,38770.856100,89038.893200,73.695000,46.075000,1730.682500
1995,IDN,B06,2863.829500,2153.889900,13975.795300,6.664300,5.403000,23.651100
1995,IDN,B0609,3639.124100,2824.475900,15855.867900,13.647200,11.318300,32.158600
1995,IDN,F,195690.702100,165492.326100,417794.746700,1227.334700,1089.794700,2951.283200
1995,IDN,F09,194915.407500,164821.740100,415914.674100,1220.351800,1083.879400,2942.775700
1995,IND,B06,3496.238700,3172.711700,7824.358300,36.267700,0.133600,212.513300
1995,IND,B0609,3615.258100,3280.218800,9109.046300,36.777500,0.179500,221.164700
1995,IND,F,355481.345200,328607.230100,686749.087600,830.033500,462.384400,15880.015700
1995,IND,F09,355362.325800,328499.723000,685464.399600,829.523700,462.338500,15871.364300
